epoch,time_s_unc,spacecraft,type,r_x_GSE,r_y_GSE,r_z_GSE,delay_s,ni_up,ni_dw,v_x_GSE_up,v_x_GSE_dw,v_y_GSE_up,v_y_GSE_dw,v_z_GSE_up,v_z_GSE_dw,method,Nx,Ny,Nz,v_sh,ni_up_unc,ni_dw_unc,delay_s_unc,v_x_GSE_up_unc,v_x_GSE_dw_unc,v_y_GSE_up_unc,v_y_GSE_dw_unc,v_z_GSE_up_unc,v_z_GSE_dw_unc,Nx_unc,Ny_unc,Nz_unc,v_sh_unc
1997-05-15    01:15:22.5,3,wind,FF,190.824,3.33,17.567,2457.12,18.6,40.3,-317.3,-388.6,-17.7,-50.1,-26.7,-42,RH08,-0.918,-0.363,-0.162,449,0.4,2.6,75.53999999999999,1.7,3,1.4,2.4,3.3,3.9,0.004,0.009,0.161,11.5
1997-05-20    05:10:49.5,5,wind,FF,175.833,7.749,13.75,3181.2000000000003,8.6,21.9,-301,-329.2,-6.5,-12,-11.3,-22.9,RH08,-0.991,-0.061,-0.117,349.6,0.3,0.5,38.94,3.1,0.5,3.6,0.8,1.2,1.1,0.001,0.009,0.117,2.6
1997-05-25    13:49:55.5,3,wind,FF,155.854,14.612,8.838,2591.28,9.3,13.6,-292.9,-318.3,1,-1.7,-12.6,-20.6,RH08,-0.976,-0.009,-0.218,374.1,0.2,0.3,112.86,1.5,2.9,0.6,1.5,0.8,2,0.003,0.009,0.214,8.3
1997-05-26    09:09:07.5,3,wind,FF,152.331,15.924,8.013,2851.08,13.8,25.2,-283,-304.9,-6.1,-15,-17.7,-31,RH08,-0.978,-0.026,-0.207,335.2,0.3,0.7,102.12,0.5,0.9,0.5,1.5,0.9,1.1,0.003,0.009,0.204,2.6
1997-08-05    04:59:04.5,3,wind,FF,91.188,-59.69,-13.1,1358.7,11,16.8,-349.1,-363.5,10.3,-4.1,27.8,29.5,RH08,-0.991,-0.113,0.073,392.4,0.2,0.6,37.980000000000004,2.3,2.9,2.5,4.5,1.5,6.7,0.002,0.014,0.072,10.1
1997-09-02    22:37:37.5,3,wind,FF,72.657,32.904,1.531,1320.6599999999999,11.1,22.3,-315.6,-349.4,0.7,-21.7,-2,-13.7,RH08,-0.919,-0.382,-0.095,371,0.3,0.9,13.2,1.9,2.3,2.1,3.7,3.4,2.8,0.005,0.013,0.095,2.5
1997-09-03    08:38:40.5,3,wind,FF,68.24,34.507,2.094,886.02,8.6,12.4,-384.7,-409.7,-19.7,-9.2,-9.9,-47.2,MX3,-0.989,0.017,-0.15,477.3,0.3,0.5,64.2,2,4.6,2.2,8,5,6.6,0.014,0.137,0.149,15.1
1997-10-10    15:57:07.5,3,wind,FF,76.806,-35.098,0.048,1010.76,12.1,19.4,-408.3,-438.7,-4,-3.7,3.9,13.4,RH08,-0.956,0.075,0.285,477.3,0.7,1,77.4,4.6,2.7,1.3,2.9,3.9,1.6,0.005,0.009,0.277,10.1
1997-10-24    11:18:07.5,6,wind,FF,9.791,-50.989,-4.494,-55.02,11,26.7,-382.1,-447.7,-20,-34.7,-6.4,6.9,RH08,-0.963,-0.268,-0.017,490.9,0.7,3.7,8.52,2.8,3.4,2,5.6,1.2,5.5,0.004,0.013,0.017,13
1997-11-01    06:14:43.5,6,wind,FF,93.637,-61.544,8.683,1371.6,29.5,43.8,-335.9,-352.6,-23.5,-28.8,-0.4,-7.5,RH08,-0.746,-0.125,-0.654,309.2,0.3,1.1,259.68,0.3,1.4,0.4,0.6,0.4,0.6,0.007,0.014,0.539,6
1997-11-09    10:03:52.5,6,wind,FF,140.819,-43.764,19.943,2508.54,8,14.9,-363.4,-375.8,-7.3,21,-8.4,-46.9,RH08,-0.518,0.589,-0.62,290.7,0.3,0.7,428.88,0.3,1.9,0.3,3.1,0.3,2.4,0.011,0.01,0.525,7
1997-11-09    22:22:58.5,6,wind,FF,142.968,-42.621,20.48,2125.08,10.5,21.8,-367.5,-395.9,-5.5,0.9,-13.5,3.1,RH08,-0.919,0.154,0.363,396.9,0.5,1.9,325.02,3.5,2.9,3.1,4.5,2.2,4,0.011,0.019,0.346,4.9
1997-11-22    09:12:52.5,3,wind,FF,180.902,-17.499,27.8,2296.62,11.7,29,-346.6,-432.8,-2,-27.4,-29.9,-15.8,RH08,-0.991,-0.131,-0.028,489.6,0.5,0.2,40.32,1.3,6.4,1.6,7.5,2.9,19.2,0.003,0.019,0.028,7.9
1997-11-30    07:15:43.5,3,wind,FF,195.673,-3.157,27.507,3120.7799999999997,19.2,33.6,-297.5,-325.1,-34.4,-44.8,1.3,12.7,RH08,-0.949,-0.176,0.263,360.6,0.5,2,293.94,0.7,2.8,1,1.4,1.8,2.4,0.004,0.014,0.256,4.4
